2026-05-19 15:55:52,603 - INFO - OTHER | 192.168.1.1:- -> 224.0.0.1:-
2026-05-19 15:55:52,605 - INFO - TCP | 20.189.172.33:443 -> 192.168.1.7:61215
2026-05-19 15:55:52,648 - INFO - TCP | 192.168.1.7:60842 -> 52.178.17.235:443
2026-05-19 15:55:52,654 - INFO - TCP | 192.168.1.7:60842 -> 52.178.17.235:443
2026-05-19 15:55:52,667 - INFO - OTHER | 192.168.1.7:- -> 224.0.0.22:-
2026-05-19 15:55:52,909 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:52,911 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:52,913 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:52,915 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:52,922 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:52,957 - INFO - TCP | 192.168.1.7:60842 -> 52.178.17.235:443
2026-05-19 15:55:53,152 - INFO - TCP | 52.178.17.235:443 -> 192.168.1.7:60842
2026-05-19 15:55:53,157 - INFO - TCP | 192.168.1.7:61216 -> 20.50.73.9:443
2026-05-19 16:00:51,813 - INFO - TCP | 140.82.114.25:443 -> 192.168.1.7:64153
2026-05-19 16:00:51,815 - INFO - TCP | 192.168.1.7:64153 -> 140.82.114.25:443
2026-05-19 16:00:51,999 - INFO - TCP | 192.168.1.7:50158 -> 20.189.173.26:443
2026-05-19 16:00:52,090 - INFO - TCP | 140.82.114.25:443 -> 192.168.1.7:64153
2026-05-19 16:00:52,323 - INFO - TCP | 20.189.173.26:443 -> 192.168.1.7:50158
2026-05-19 16:00:52,340 - INFO - TCP | 192.168.1.7:50158 -> 20.189.173.26:443
